STNAM,FIPST,LEAID,ST_LEAID,LEANM,ST_SCHID,SCHNAM,ALL_RATE_1617
TEXAS,48,4837800,TX-152908,ROOSEVELT ISD,TX-152908-152908001,ROOSEVELT H S,GE95
TEXAS,48,4837830,TX-110905,ROPES ISD,TX-110905-110905001,ROPES SCHOOL,GE80
TEXAS,48,4837860,TX-177901,ROSCOE COLLEGIATE ISD,TX-177901-177901001,ROSCOE COLLEGIATE H S,GE80
TEXAS,48,4837860,TX-177901,ROSCOE COLLEGIATE ISD,TX-177901-177901003,WALLACE H S,PS
TEXAS,48,4837900,TX-073905,ROSEBUD-LOTT ISD,TX-073905-073905001,ROSEBUD-LOTT H S,GE90
TEXAS,48,4838040,TX-076904,ROTAN ISD,TX-076904-076904001,ROTAN H S,GE50
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909001,ROUND ROCK H S,GE99
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909003,WESTWOOD H S,GE99
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909004,MCNEIL H S,98
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909007,STONY POINT H S,95
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909011,SUCCESS H S,65
TEXAS,48,4838080,TX-246909,ROUND ROCK ISD,TX-246909-246909008,CEDAR RIDGE H S,97
TEXAS,48,4838100,TX-075908,ROUND TOP-CARMINE ISD,TX-075908-075908001,ROUND TOP-CARMINE H S,GE80
TEXAS,48,4838160,TX-139908,ROXTON ISD,TX-139908-139908001,ROXTON ISD,GE50
TEXAS,48,4838190,TX-237905,ROYAL ISD,TX-237905-237905002,ROYAL H S,GE95
TEXAS,48,4838220,TX-199902,ROYSE CITY ISD,TX-199902-199902002,ROYSE CITY H S,96
TEXAS,48,4838280,TX-104903,RULE ISD,TX-104903-104903001,RULE SCHOOL,GE50
TEXAS,48,4838310,TX-128903,RUNGE ISD,TX-128903-128903001,RUNGE H S,60-79
TEXAS,48,4838360,TX-037907,RUSK ISD,TX-037907-037907002,RUSK H S,90-94
TEXAS,48,4838400,TX-091914,S AND S CISD,TX-091914-091914001,S AND S CONS H S,GE90
TEXAS,48,4838430,TX-232902,SABINAL ISD,TX-232902-232902001,SABINAL H S,GE90
TEXAS,48,4838460,TX-092906,SABINE ISD,TX-092906-092906002,SABINE H S,90-94
TEXAS,48,4838490,TX-123913,SABINE PASS ISD,TX-123913-123913001,SABINE PASS SCHOOL,GE90
TEXAS,48,4838520,TX-169911,SAINT JO ISD,TX-169911-169911001,SAINT JO H S,GE50
TEXAS,48,4838580,TX-014908,SALADO ISD,TX-014908-014908001,SALADO H S,GE95
TEXAS,48,4838610,TX-112909,SALTILLO ISD,TX-112909-112909001,SALTILLO SCHOOL,GE80
TEXAS,48,4838640,TX-074917,SAM RAYBURN ISD,TX-074917-074917001,RAYBURN H S,GE90
TEXAS,48,4838700,TX-226903,SAN ANGELO ISD,TX-226903-226903001,CENTRAL H S,93
TEXAS,48,4838700,TX-226903,SAN ANGELO ISD,TX-226903-226903002,LAKE VIEW H S,88
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907002,BURBANK H S,93
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907003,EDISON H S,98
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907004,FOX TECHNICAL H S,GE95
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907005,HIGHLANDS H S,81
TEXAS,48,4838730,TX-015907,SAN ANTONIO ISD,TX-015907-015907006,HOUSTON H S,77
