STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4824030,TX-236902,HUNTSVILLE ISD,482403000000,TX-236902-236902008,TEXAS ONLINE PREPARATORY H S,75,9/23/2019 0:00
TEXAS,48,4824060,TX-220916,HURST-EULESS-BEDFORD ISD,482406000000,TX-220916-220916001,BELL H S,98,9/23/2019 0:00
TEXAS,48,4824060,TX-220916,HURST-EULESS-BEDFORD ISD,482406000000,TX-220916-220916002,TRINITY H S,98,9/23/2019 0:00
TEXAS,48,4824060,TX-220916,HURST-EULESS-BEDFORD ISD,482406000000,TX-220916-220916005,KEYS H S,75,9/23/2019 0:00
TEXAS,48,4824100,TX-246906,HUTTO ISD,482410000000,TX-246906-246906001,HUTTO H S,92,9/23/2019 0:00
TEXAS,48,4824120,TX-152910,IDALOU ISD,482412000000,TX-152910-152910001,IDALOU H S,95,9/23/2019 0:00
TEXAS,48,4824150,TX-120905,INDUSTRIAL ISD,482415000000,TX-120905-120905001,INDUSTRIAL H S,95,9/23/2019 0:00
TEXAS,48,4824180,TX-205903,INGLESIDE ISD,482418000000,TX-205903-205903001,INGLESIDE H S,95,9/23/2019 0:00
TEXAS,48,4824210,TX-133904,INGRAM ISD,482421000000,TX-133904-133904001,INGRAM TOM MOORE H S,95,9/23/2019 0:00
TEXAS,48,4824240,TX-093903,IOLA ISD,482424000000,TX-093903-093903001,IOLA H S,80,9/23/2019 0:00
TEXAS,48,4824260,TX-243903,IOWA PARK CISD,482426000000,TX-243903-243903001,IOWA PARK H S,95,9/23/2019 0:00
TEXAS,48,4824300,TX-208903,IRA ISD,482430000000,TX-208903-208903001,IRA SCHOOL,80,9/23/2019 0:00
TEXAS,48,4824330,TX-186903,IRAAN-SHEFFIELD ISD,482433000000,TX-186903-186903001,IRAAN H S,80,9/23/2019 0:00
TEXAS,48,4824360,TX-018906,IREDELL ISD,482436000000,TX-018906-018906001,IREDELL SCHOOL,50,9/23/2019 0:00
TEXAS,48,4824420,TX-057912,IRVING ISD,482442000000,TX-057912-057912002,IRVING H S,98,9/23/2019 0:00
TEXAS,48,4824420,TX-057912,IRVING ISD,482442000000,TX-057912-057912003,MACARTHUR H S,92,9/23/2019 0:00
TEXAS,48,4824420,TX-057912,IRVING ISD,482442000000,TX-057912-057912004,NIMITZ H S,88,9/23/2019 0:00
TEXAS,48,4824420,TX-057912,IRVING ISD,482442000000,TX-057912-057912005,BARBARA CARDWELL CAREER PREPARATORY CENTER,70,9/23/2019 0:00
TEXAS,48,4824420,TX-057912,IRVING ISD,482442000000,TX-057912-057912006,JACK E SINGLEY ACADEMY,98,9/23/2019 0:00
TEXAS,48,4824450,TX-070907,ITALY ISD,482445000000,TX-070907-070907001,ITALY H S,90,9/23/2019 0:00
TEXAS,48,4824480,TX-109907,ITASCA ISD,482448000000,TX-109907-109907001,ITASCA H S,90,9/23/2019 0:00
TEXAS,48,4824530,TX-119902,JACKSBORO ISD,482453000000,TX-119902-119902001,JACKSBORO H S,95,9/23/2019 0:00
