STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4800163,,TEXAS COLLEGE PREPARATORY ACADEMIES,480000000000,,VISTA ACADEMY OF AMARILLO,50,7/1/2017
TEXAS,48,4800163,,TEXAS COLLEGE PREPARATORY ACADEMIES,480000000000,,ISCHOOL H S,90,7/1/2017
TEXAS,48,4800163,,TEXAS COLLEGE PREPARATORY ACADEMIES,480000000000,,ISCHOOL HIGH OF HICKORY CREEK,80,7/1/2017
TEXAS,48,4800163,,TEXAS COLLEGE PREPARATORY ACADEMIES,480000000000,,ISCHOOL HIGH AT UNIVERSITY PARK,90,7/1/2017
TEXAS,48,4800171,,RANCH ACADEMY,480000000000,,RANCH ACADEMY,60,7/1/2017
TEXAS,48,4800174,,GATEWAY ACADEMY CHARTER DISTRICT,480000000000,,GATEWAY ACADEMY-TOWNLAKE CHARTER H S,65,7/1/2017
TEXAS,48,4800174,,GATEWAY ACADEMY CHARTER DISTRICT,480000000000,,GATEWAY ACADEMY-SIERRA VISTA CHARTER H S,70,7/1/2017
TEXAS,48,4800179,,JUBILEE ACADEMIC CENTER,480000000000,,ATHLOS LEADERSHIP ACADEMY,90,7/1/2017
TEXAS,48,4800184,,GATEWAY CHARTER ACADEMY,480000000000,,GATEWAY CHARTER ACADEMY - MIDDLE - H S,80,7/1/2017
TEXAS,48,4800185,,ALPHA CHARTER SCHOOL,480000000000,,ALPHA CHARTER SCHOOL,50,7/1/2017
TEXAS,48,4800195,,VANGUARD ACADEMY,480000000000,,VANGUARD REMBRANDT,90,7/1/2017
TEXAS,48,4800200,,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,480000000000,,SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY,60,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY CHARTER SCHOOL (RICHARDSON),30,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY CHARTER SCHOOL (IRVING),35,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY CHARTER SCHOOL (LEWISVILLE),40,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY CHARTER SCHOOL - GRAND PRAIRIE,10,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY NORTH RICHLAND HILLS,25,7/1/2017
TEXAS,48,4800202,,WINFREE ACADEMY CHARTER SCHOOLS,480000000000,,WINFREE ACADEMY CHARTER SCHOOL DALLAS,6,7/1/2017
TEXAS,48,4800203,,A+ ACADEMY,480000000000,,A+ ACADEMY,95,7/1/2017
TEXAS,48,4800205,,EL PASO ACADEMY,480000000000,,EL PASO ACADEMY,40,7/1/2017
TEXAS,48,4800205,,EL PASO ACADEMY,480000000000,,EL PASO ACADEMY WEST,55,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF SAN ANTONIO,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF BROWNSVILLE,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF PHARR,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S AMERICAN YOUTHWORKS,20,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF LUBBOCK,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF WACO,70,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF MIDLAND,60,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF TYLER,21,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF FORT WORTH,11,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF ABILENE,80,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF DEL RIO,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF LAREDO,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF DUBLIN/COMANCHE/EARLY,60,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF AUSTIN,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF MISSION,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF PALMVIEW,60,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF NORTH AUSTIN,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF EL PASO,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF SAN JUAN,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF NEW BRAUNFELS,60,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF RICHARDSON,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF HUNTSVILLE,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF GRANBURY,50,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF SOUTH IRVING,40,7/1/2017
TEXAS,48,4800207,,PREMIER HIGH SCHOOLS,480000000000,,PREMIER H S OF DAYTON,80,7/1/2017
