STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4814520,COLDSPRING-OAKHURST CISD,4.81452E+11,COLDSPRING-OAKHURST HIGH SCHOOL,GE95
TEXAS,48,4814550,COLEMAN ISD,4.81455E+11,COLEMAN H S,80-89
TEXAS,48,4814580,COLLINSVILLE ISD,4.81458E+11,COLLINSVILLE H S,GE90
TEXAS,48,4814600,COLMESNEIL ISD,4.8146E+11,COLMESNEIL JH/HS,80-89
TEXAS,48,4814640,COLORADO ISD,4.81464E+11,COLORADO H S,GE95
TEXAS,48,4814640,COLORADO ISD,4.81464E+11,WALLACE ACCELERATED H S,GE50
TEXAS,48,4814670,COLUMBIA-BRAZORIA ISD,4.81467E+11,COLUMBIA H S,90-94
TEXAS,48,4814700,COLUMBUS ISD,4.8147E+11,COLUMBUS H S,90-94
TEXAS,48,4814700,COLUMBUS ISD,4.8147E+11,COLUMBUS ALTERNATIVE SCHOOL,GE50
TEXAS,48,4814730,COMAL ISD,4.81473E+11,CANYON H S,90
TEXAS,48,4814730,COMAL ISD,4.81473E+11,SMITHSON VALLEY H S,GE99
TEXAS,48,4814730,COMAL ISD,4.81473E+11,COMAL ACADEMY,90-94
TEXAS,48,4814730,COMAL ISD,4.81473E+11,CANYON LAKE H S,GE95
TEXAS,48,4814730,COMAL ISD,4.81473E+11,COMAL DISCIPLINE CENTER,PS
TEXAS,48,4814730,COMAL ISD,4.81473E+11,MEMORIAL EARLY COLLEGE H S WITH ST PHILIP'S,GE90
TEXAS,48,4814760,COMANCHE ISD,4.81476E+11,COMANCHE H S,GE95
TEXAS,48,4814790,COMFORT ISD,4.81479E+11,COMFORT H S,GE95
TEXAS,48,4814820,COMMERCE ISD,4.81482E+11,COMMERCE H S,GE95
TEXAS,48,4814850,COMMUNITY ISD,4.81485E+11,COMMUNITY H S,GE95
TEXAS,48,4814880,COMO-PICKTON CISD,4.81488E+11,COMO-PICKTON SCHOOL,GE90
TEXAS,48,4814920,COMSTOCK ISD,4.81492E+11,COMSTOCK SCHOOL,GE80
TEXAS,48,4814970,CONNALLY ISD,4.81497E+11,CONNALLY HIGH SCHOOL,90-94
TEXAS,48,4815000,CONROE ISD,4.815E+11,CONROE H S,84
TEXAS,48,4815000,CONROE ISD,4.815E+11,HAUKE ALTER ED,75-79
TEXAS,48,4815000,CONROE ISD,4.815E+11,THE WOODLANDS H S,96
TEXAS,48,4815000,CONROE ISD,4.815E+11,OAK RIDGE H S,93
TEXAS,48,4815000,CONROE ISD,4.815E+11,CANEY CREEK H S,89
TEXAS,48,4815000,CONROE ISD,4.815E+11,COLLEGE PARK H S,93
TEXAS,48,4815120,COOLIDGE ISD,4.81512E+11,COOLIDGE H S,GE80
TEXAS,48,4815150,COOPER ISD,4.81515E+11,COOPER H S,GE90
TEXAS,48,4815180,LUBBOCK-COOPER ISD,4.81518E+11,LUBBOCK-COOPER HIGH SCHOOL,98
TEXAS,48,4815210,COPPELL ISD,4.81521E+11,COPPELL H S,GE99
TEXAS,48,4815210,COPPELL ISD,4.81521E+11,NEW TECH H S AT COPPELL,GE95
TEXAS,48,4815240,COPPERAS COVE ISD,4.81524E+11,COPPERAS COVE H S,95
TEXAS,48,4815240,COPPERAS COVE ISD,4.81524E+11,CROSSROADS H S,60-69
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,MARY GRETT SCHOOL,LE20
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,CARROLL H S,89
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,KING H S,88
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,ROY MILLER H S AND METRO SCHOOL OF DESIGN,80
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,MOODY H S,90
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,RAY H S,86
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,STUDENT SUPPORT CENTER,PS
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,COLES H S AND EDUCATIONAL CENTER,75
TEXAS,48,4815270,CORPUS CHRISTI ISD,4.81527E+11,COLLEGIATE H S,GE95
TEXAS,48,4815300,CORRIGAN-CAMDEN ISD,4.8153E+11,CORRIGAN-CAMDEN H S,90-94
TEXAS,48,4815330,CORSICANA ISD,4.81533E+11,CORSICANA H IGH SCHOOL,93
TEXAS,48,4815360,COTTON CENTER ISD,4.81536E+11,COTTON CENTER SCHOOL,GE50
TEXAS,48,4815400,COTULLA ISD,4.8154E+11,COTULLA H S,85-89
TEXAS,48,4815480,COVINGTON ISD,4.81548E+11,COVINGTON SCHOOL,GE80
TEXAS,48,4815510,CRANDALL ISD,4.81551E+11,CRANDALL H S,GE95
TEXAS,48,4815510,CRANDALL ISD,4.81551E+11,CRANDALL COMPASS ACADEMY,GE90
TEXAS,48,4815540,CRANE ISD,4.81554E+11,CRANE HIGH SCHOOL,90-94
TEXAS,48,4815570,CRANFILLS GAP ISD,4.81557E+11,CRANFILLS GAP SCHOOL,PS
TEXAS,48,4815600,CRAWFORD ISD,4.8156E+11,CRAWFORD H S,GE90
TEXAS,48,4815690,CROCKETT COUNTY CONSOLIDATED CSD,4.81569E+11,OZONA H S,80-89
TEXAS,48,4815720,CROCKETT ISD,4.81572E+11,CROCKETT H S,GE95
